OBJECTID,Zipcode,Borough,Neighborhood,Type_Name,Acres,Total_Pop,Median_Age,Occ_Units,Owner_Occ,Renter_Occ
-16,0,x,23rd and Union-Jackson,Residential Urban Village,516.6,9468,37.4,4422,1701,2721
-13,0,x,12th Avenue,Urban Center Village,159.8,4519,30.6,1758,203,1555
1,98146,Southwest,WestSeattle,Hub Urban Village,225.8,3788,42.9,2324,752,1572
2,98102,LakeUnion,Eastlake,Residential Urban Village,200.2,5084,37,3118,878,2240
3,98101,Downtown,CommCore,Urban Center Village,276.4,5917,45.9,2985,662,2323
4,98122,East,IntDistrict,Urban Center Village,171.3,3466,52.3,2227,104,2123
5,98121,Downtown,Belltown,Urban Center Village,219.9,11961,39.8,8421,1982,6439
6,98104,Downtown,MadisonMiller,Residential Urban Village,145.3,4066,35,2266,615,1651
7,98108,Duwamish,SouthPark,Residential Urban Village,263.4,3448,35,1144,573,571
8,98103,LakeUnion,Wallingford,Residential Urban Village,257.1,5350,34.2,2780,935,1845
9,98117,Ballard,CrownHill,Residential Urban Village,172.9,2459,37.4,1141,627,514
10,98177,Southeast,NorthRainier,Hub Urban Village,455,4908,39.7,2051,717,1334
11,98104,East,FirstHill,Urban Center Village,228.1,8681,42.6,5588,731,4857
12,98109,LakeUnion,S_LakeUnion,Urban Center,339.9,3774,39.1,2459,307,2152
14,98115,Northeast,Ravenna,Urban Center Village,122.6,3323,26,1481,59,1422
15,98103,Northwest,AuroraNorth,Residential Urban Village,327,6179,32.1,3018,1124,1894
17,98118,Southeast,Othello,Residential Urban Village,374.9,7267,31.8,2308,715,1593
18,98105,Northeast,Admiral,Residential Urban Village,98.3,1528,42.3,962,259,703
19,98115,Northwest,GreenLake,Residential Urban Village,108.6,2904,34.1,1843,361,1482
20,98106,Delridge,Westwood,Residential Urban Village,275.5,4606,36.8,1944,796,1148
21,98188,Duwamish,Duwamish,Manufacturing Industrial,4961.2,1064,44.5,338,61,277
22,98117,Northwest,Grnwd_Phinney,Residential Urban Village,94.2,2927,38.5,1634,616,1018
23,98125,North,LakeCity,Hub Urban Village,142.2,3899,34,2178,389,1789
24,98122,East,CapitolHill,Urban Center Village,397.4,18279,33.7,12461,2417,10044
25,98115,Northeast,Roosevelt,Residential Urban Village,158,2384,33.8,1126,471,655
26,98133,Northwest,BitterLake,Hub Urban Village,358.7,4273,37.9,2541,571,1970
27,98107,Ballard,Ballard,Hub Urban Village,421.7,10078,35.6,6177,1787,4390
28,98118,Duwamish,ColumbiaCity,Residential Urban Village,312.7,3937,36.7,1743,552,1191
29,98125,Northwest,Northgate,Urban Center,410.6,6369,37.1,3674,635,3039
30,98101,East,PikePine,Urban Center Village,130.9,4413,32,3076,703,2373
31,98103,LakeUnion,Fremont,Hub Urban Village,214.5,3960,34.4,2369,683,1686
32,98144,Duwamish,BeaconHill,Residential Urban Village,130.6,2900,38.9,1279,343,936
33,98199,QueenAnne,QueenAnne,Residential Urban Village,52.6,2143,39.4,1438,351,1087
34,98119,Downtown,Uptown,Urban Center,333.1,7300,34.5,5106,1134,3972
35,98178,Southeast,RainierBeach,Residential Urban Village,267.5,3583,35.2,1331,335,996
36,98126,Southwest,MorganJunc,Residential Urban Village,113.7,2046,37.4,1168,453,715
37,98195,Northeast,UnivDistrict,Urban Center Village,287,13654,24.7,5886,360,5526
38,98101,Downtown,DennyTriangle,Urban Center Village,142.7,3248,36.5,2073,404,1669
40,98195,Northeast,UnivCampus,Urban Center Village,348,5727,31,205,11,194
41,98104,Downtown,PioneerSquare,Urban Center Village,142.4,2252,41.9,937,145,792
42,98107,Ballard,Ballard,Manufacturing Industrial,938.1,1658,43.5,611,180,431
